time,HeartRate,DifficultyIndex
271.6533,88,0
271.6604,88,0
271.6675,88,0
271.674,88,0
271.681,88,0
271.6877,88,0
271.6943,88,0
271.7013,88,0
271.708,88,0
271.7149,88,0
271.7217,88,0
271.7283,88,0
271.735,88,0
271.7418,88,0
271.7485,88,0
271.7553,88,0
271.7622,88,0
271.7688,88,0
271.7755,88,0
271.7823,88,0
271.7889,88,0
271.7954,88,0
271.8023,88,0
271.8088,88,0
271.8155,88,0
271.8223,88,0
271.8291,88,0
271.8358,88,0
271.8427,88,0
271.8493,88,0
271.8558,88,0
271.8625,88,0
271.8691,88,0
271.8757,88,0
271.8825,88,0
271.889,88,0
271.8954,88,0
271.9022,88,0
271.9088,88,0
271.9156,88,0
271.9223,88,0
271.9287,88,0
271.9354,88,0
271.9421,88,0
271.9487,88,0
271.9552,88,0
271.9619,88,0
271.9685,88,0
271.9751,88,0
271.982,88,0
271.9887,88,0
271.9953,88,0
272.0023,88,0
272.0089,88,0
272.0158,88,0
272.0227,88,0
272.0294,88,0
272.0361,88,0
272.043,88,0
272.0497,88,0
272.0563,88,0
272.0634,88,0
272.0703,88,0
272.0776,88,0
272.0853,88,0
272.0919,88,0
272.0988,88,0
272.1058,88,0
272.1124,88,0
272.119,88,0
272.1257,88,0
272.1324,88,0
272.1389,88,0
272.1458,88,0
272.1525,88,0
272.1589,88,0
272.1659,88,0
272.1724,88,0
272.1789,88,0
272.1858,88,0
272.1927,88,0
272.1994,88,0
272.2064,88,0
272.213,88,0
272.2197,88,0
272.2267,88,0
272.2341,88,0
272.2416,88,0
272.2483,88,0
272.2549,88,0
272.2615,88,0
272.268,88,0
272.2744,88,0
272.2811,88,0
272.2875,88,0
272.2939,88,0
272.3007,88,0
272.3072,88,0
272.3136,88,0
272.3203,88,0
272.3268,88,0
272.3334,88,0
272.3402,88,0
272.3468,88,0
272.3534,88,0
272.3602,88,0
272.367,88,0
272.3735,88,0
272.3805,88,0
272.3878,88,0
272.395,88,0
272.4019,88,0
272.4084,88,0
272.4149,88,0
272.4215,88,0
272.4281,88,0
272.4346,88,0
272.4413,88,0
272.4478,88,0
272.4542,88,0
272.4609,88,0
272.4674,88,0
272.4739,88,0
272.4805,88,0
272.487,88,0
272.4935,88,0
272.5003,88,0
272.5068,88,0
272.5132,88,0
272.5197,88,0
272.5265,88,0
272.533,88,0
272.5394,88,0
272.5462,88,0
272.553,88,0
272.5598,88,0
272.5669,88,0
272.5735,88,0
272.5805,88,0
272.5871,88,0
272.5937,88,0
272.6007,88,0
272.6073,88,0
272.614,88,0
272.6208,88,0
272.6274,88,0
272.634,88,0
272.6408,88,0
272.6477,88,0
272.6544,88,0
272.6612,88,0
272.6678,88,0
272.6744,88,0
272.6817,88,0
272.6891,88,0
272.6963,88,0
272.704,88,0
272.7105,88,0
272.7172,88,0
272.7239,88,0
272.7305,88,0
272.737,88,0
272.7437,88,0
272.7505,88,0
272.7571,88,0
272.7638,88,0
272.7704,88,0
272.7769,88,0
272.7837,88,0
272.7901,88,0
272.7967,88,0
272.8034,88,0
272.8101,88,0
272.8167,88,0
272.8236,88,0
272.8301,88,0
272.8366,88,0
272.8434,88,0
272.8501,88,0
272.8566,88,0
272.8633,88,0
272.8698,88,0
272.8763,88,0
272.8831,88,0
272.8897,88,0
272.8961,88,0
272.9029,88,0
272.9093,88,0
272.9158,88,0
272.9226,88,0
272.9291,88,0
272.9357,88,0
272.9425,88,0
272.9489,88,0
272.956,88,0
272.9632,88,0
272.97,88,0
272.9765,88,0
272.9838,88,0
272.9904,88,0
272.9975,88,0
273.0053,88,0
273.0128,88,0
273.0193,88,0
273.0261,88,0
273.0332,88,0
273.0403,88,0
273.047,88,0
273.0539,88,0
273.0608,88,0
273.0672,88,0
273.0736,88,0
273.0805,88,0
273.0873,88,0
273.0939,88,0
273.1006,88,0
273.1072,88,0
273.1136,88,0
273.1205,88,0
273.1274,88,0
273.1342,88,0
273.1411,88,0
273.1476,88,0
273.1543,88,0
273.1608,88,0
273.1674,88,0
273.174,88,0
273.1806,88,0
273.187,88,0
273.1938,88,0
273.2006,88,0
273.2071,88,0
273.2136,88,0
273.2203,88,0
273.2264,88,0
273.2328,88,0
273.2389,88,0
273.2452,88,0
273.2514,88,0
273.2574,88,0
273.2639,88,0
273.2703,88,0
273.2766,88,0
273.2829,88,0
273.2892,88,0
273.2954,88,0
273.3019,88,0
273.3078,88,0
273.3141,88,0
273.3206,88,0
273.3268,88,0
273.333,88,0
273.3389,88,0
273.3449,88,0
273.3509,88,0
273.3568,88,0
273.3629,88,0
273.3689,88,0
273.3748,88,0
273.3809,88,0
273.3868,88,0
273.3928,88,0
273.3995,88,0
273.4063,88,0
273.4131,88,0
273.4195,88,0
273.4259,88,0
273.4322,88,0
273.4382,88,0
273.4445,88,0
273.4507,88,0
273.4572,88,0
273.4646,88,0
273.4716,88,0
273.4778,88,0
273.4842,88,0
273.4905,88,0
273.4965,88,0
273.5035,88,0
273.5095,88,0
273.5157,88,0
273.5222,88,0
273.5282,88,0
273.5343,88,0
273.5406,88,0
273.5468,88,0
273.5531,88,0
273.5594,88,0
273.5658,88,0
273.5719,88,0
273.5779,88,0
273.5844,88,0
273.5911,88,0
273.5977,88,0
273.6048,88,0
273.6112,88,0
273.6182,88,0
273.6253,88,0
273.6315,88,0
273.6375,88,0
273.6438,88,0
273.6499,88,0
273.6559,88,0
273.662,88,0
273.668,88,0
273.674,88,0
273.6808,88,0
273.6869,88,0
273.693,88,0
273.6993,88,0
273.7057,88,0
273.7118,88,0
273.7179,88,0
273.7241,88,0
273.7303,88,0
273.7364,88,0
273.7427,88,0
273.7495,88,0
273.7564,88,0
273.7667,88,0
273.7745,88,0
273.7817,88,0
273.7877,88,0
273.7937,88,0
273.8,88,0
273.8062,88,0
273.8121,88,0
273.8182,88,0
273.8244,88,0
273.8304,88,0
273.8369,88,0
273.8431,88,0
273.8493,88,0
273.8557,88,0
273.862,88,0
273.868,88,0
273.874,88,0
273.8803,88,0
273.8863,88,0
273.8923,88,0
273.8997,88,0
273.9066,88,0
273.9131,88,0
273.9194,88,0
273.9266,88,0
273.9333,88,0
273.9394,88,0
273.9454,88,0
273.9514,88,0
273.9574,88,0
273.9635,88,0
273.9695,88,0
273.9756,88,0
273.9823,88,0
273.9883,88,0
273.9944,88,0
274.0012,88,0
274.0073,88,0
274.0134,88,0
274.0199,88,0
274.0259,88,0
274.032,88,0
274.0382,88,0
274.0445,88,0
274.0505,88,0
274.0566,88,0
274.0629,88,0
274.069,88,0
274.0753,88,0
274.0826,88,0
274.0894,88,0
274.0954,88,0
274.1017,88,0
274.1076,88,0
274.1137,88,0
274.1203,88,0
274.1264,88,0
274.1325,88,0
274.1385,88,0
274.1449,88,0
274.1513,88,0
274.1576,88,0
274.1644,88,0
274.1706,88,0
274.1768,88,0
274.1837,88,0
274.1901,88,0
274.1964,88,0
274.2029,88,0
274.2091,88,0
274.2156,88,0
274.2224,88,0
274.2289,88,0
274.2352,88,0
274.2417,88,0
274.248,88,0
274.2544,88,0
274.261,88,0
274.2673,88,0
274.2736,88,0
274.2802,88,0
274.2867,88,0
274.2932,88,0
274.2996,88,0
274.3062,88,0
274.3127,88,0
274.3193,88,0
274.3263,88,0
