time,HeartRate,Difficulty,Level
238.7643,0,0,medium
239.0038,0,0,medium
240.0082,0,0,medium
241.0026,0,0,medium
242.0007,0,0,medium
243.0087,0,0,medium
244.0003,0,0,medium
245.0036,115,0,medium
246.0079,115,0,medium
247.0011,115,0,medium
248.0092,114,0,medium
249.0088,112,0,medium
250.0099,111,0,medium
251.0034,110,0,medium
252.0049,110,0,medium
253.0069,109,0,medium
254.0022,108,0,medium
255.0028,107,0,medium
256.0066,105,0,medium
257.0022,103,0,medium
258.0084,102,0,medium
259.0054,102,0,medium
260.0073,102,0,medium
261.0068,102,0,medium
262.0022,104,0,medium
263.0013,104,0,medium
264.0008,102,0,medium
265.0012,100,0,medium
266.0025,97,0,medium
267.01,97,0,medium
268.0004,95,0,medium
269.002,94,0,medium
270.0017,94,0,medium
271.0011,91,0,medium
272.008,90,0,medium
273.0028,89,0,medium
274.0056,93,0,medium
275.0074,95,0,medium
276.0005,96,0,medium
277.0027,96,0,medium
278,95,0,medium
279,94,0,medium
280.0014,93,0,medium
281.0029,92,0,medium
282.0032,92,0,medium
283.0045,91,0,medium
284.0043,90,0,medium
285.0039,90,0,medium
286.0046,90,0,medium
287.0023,91,0,medium
288.0034,91,0,medium
289.0022,90,0,medium
290.0074,90,0,medium
291.008,90,0,medium
292.0107,89,0,medium
293.0009,86,0,medium
294.0063,85,0,medium
295.003,84,0,medium
296.0072,86,0,medium
297.0004,86,0,medium
298.0006,86,0,medium
299.004,86,0,medium
300.0059,86,0,medium
