time,HeartRate,Difficulty,Level,
1.003899,89,0.2401825,easy,22:51:21
2.006439,88,0.2899182,easy,
3.004288,88,0.2899182,easy,
4.004482,89,0.2401825,easy,
5.000335,89,0.2401825,easy,
6.005036,89,0.2401825,easy,
7.001919,90,0.1904467,easy,
8.00568,88,0.2899182,easy,
9.005754,88,0.2899182,easy,
10.00728,88,0.2899182,easy,
11.00589,87,0.339654,medium,
12.00257,86,0.3893898,medium,
13.00402,85,0.4391256,medium,
14.00786,83,0.5385971,medium,
15.00457,83,0.5385971,medium,
16.00659,83,0.5385971,medium,
17.00442,82,0.5883328,medium,
18.00239,82,0.5883328,medium,
19.00448,82,0.5883328,medium,
20.00145,81,0.6380686,medium,
21.00068,81,0.6380686,medium,
22.00158,81,0.6380686,medium,
23.00741,82,0.5883328,medium,
24.0061,83,0.5385971,medium,
25.00202,84,0.4888613,medium,
26.00198,86,0.3893898,medium,
27.00648,89,0.2401825,easy,
28.0048,89,0.2401825,easy,
29.0017,90,0.1904467,easy,
30.00356,91,0.1407109,easy,
31.00044,92,0.09097519,easy,
32.00084,92,0.09097519,easy,
33.00078,93,0.04123942,easy,
34.0047,93,0.04123942,easy,
35.00552,91,0.1407109,easy,
36.0015,91,0.1407109,easy,
37.00172,90,0.1904467,easy,
38.0013,91,0.1407109,easy,
39.00462,92,0.09097519,easy,
40.00166,92,0.09097519,easy,
41.0014,91,0.1407109,easy,
42.00062,90,0.1904467,easy,
43.00536,89,0.2401825,easy,
44.00488,89,0.2401825,easy,
45.00336,90,0.1904467,easy,
46.00679,90,0.1904467,easy,
47.00357,92,0.09097519,easy,
48.00188,92,0.09097519,easy,
49.0047,91,0.1407109,easy,
50.00018,91,0.1407109,easy,
51.00319,91,0.1407109,easy,
52.00309,89,0.2401825,easy,
53.00097,88,0.2899182,easy,
54.00297,88,0.2899182,easy,
55.00309,89,0.2401825,easy,
56.00228,97,0,easy,
57.00482,105,0,easy,
58.00644,109,0,easy,
59.00276,111,0,easy,
60.00186,114,0,easy,
61.00482,114,0,easy,
62.00475,114,0,easy,
63.0077,111,0,easy,
64.00665,108,0,easy,
65.00754,103,0,easy,
66.00048,101,0,easy,
67.00527,97,0,easy,
68.00738,96,0,easy,
69.00021,97,0,easy,
70.00489,98,0,easy,
71.00161,99,0,easy,
72.00397,97,0,easy,
73.00298,96,0,easy,
74.00144,93,0.04123942,easy,
75.00312,92,0.09097519,easy,
76.00497,92,0.09097519,easy,
77.00628,89,0.2401825,easy,
78.00125,88,0.2899182,easy,
79.00093,88,0.2899182,easy,
80.00423,88,0.2899182,easy,
81.00208,87,0.339654,medium,
82.00391,87,0.339654,medium,
83.00293,85,0.4391256,medium,
84.0026,84,0.4888613,medium,
85.0038,83,0.5385971,medium,
86.00088,81,0.6380686,medium,
87.00125,81,0.6380686,medium,
88.00181,81,0.6380686,medium,
89.00386,80,0.6878044,medium,
90.00113,80,0.6878044,medium,
91.00383,80,0.6878044,medium,
